,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
165,2021-08-27,52492.12890625,52492.12890625,52188.921875,52425.640625,124318800,0.0,0.0
166,2021-08-30,52431.05078125,52680.5,52127.3203125,52602.0703125,107082500,0.0,0.0
167,2021-08-31,52631.328125,53375.890625,52618.46875,53304.73828125,329112800,0.0,0.0
168,2021-09-01,53400.26953125,53400.26953125,52131.19921875,52215.5390625,147255900,0.0,0.0
169,2021-09-02,52196.98046875,52261.41015625,51939.1484375,52087.46875,115079200,0.0,0.0
170,2021-09-03,52172.94140625,52205.94921875,51738.8515625,51835.08984375,97441400,0.0,0.0
171,2021-09-06,51829.94921875,52367.51953125,51769.53125,52283.109375,20470300,0.0,0.0
172,2021-09-07,52289.73046875,52289.80859375,51791.640625,51950.44921875,115536800,0.0,0.0
173,2021-09-08,51865.48046875,51865.48046875,51378.671875,51469.71875,131633000,0.0,0.0
174,2021-09-09,51461.26171875,51508.73046875,51193.671875,51395.05859375,132670200,0.0,0.0
175,2021-09-10,51511.19921875,51786.71875,51441.0,51521.80078125,100823300,0.0,0.0
176,2021-09-13,51556.828125,52047.3515625,51428.8203125,51496.7109375,108932900,0.0,0.0
177,2021-09-14,51507.76171875,51951.76171875,51297.19921875,51815.171875,166224100,0.0,0.0
178,2021-09-15,51793.578125,52238.5,51782.8984375,52192.328125,174574100,0.0,0.0
179,2021-09-17,52195.2109375,52195.2109375,51266.33984375,51307.7109375,598584300,0.0,0.0
180,2021-09-20,51264.30078125,51264.30078125,50402.921875,50557.6484375,150617700,0.0,0.0
181,2021-09-21,50687.4609375,50950.37890625,50491.2890625,50828.12890625,143968300,0.0,0.0
182,2021-09-22,50879.62890625,51577.55859375,50852.03125,51338.33984375,134806300,0.0,0.0
183,2021-09-23,51342.12890625,51590.69921875,51306.94140625,51464.26953125,180099100,0.0,0.0
184,2021-09-24,51378.921875,51426.33984375,51036.4609375,51105.7109375,111610200,0.0,0.0
185,2021-09-27,51124.421875,51690.94921875,51047.94140625,51598.53125,132819900,0.0,0.0
186,2021-09-28,51609.5390625,51616.9296875,50877.21875,50925.51953125,169423900,0.0,0.0
187,2021-09-29,50994.359375,51287.87890625,50782.30078125,51084.609375,199580000,0.0,0.0
188,2021-09-30,51189.91015625,51409.390625,50963.828125,51385.55078125,196392600,0.0,0.0
189,2021-10-01,51376.69140625,51387.25,50850.6484375,51060.05078125,128083100,0.0,0.0
190,2021-10-04,51066.23828125,51401.890625,50757.859375,50862.94140625,95816200,0.0,0.0
191,2021-10-05,50904.9609375,51078.8515625,50810.828125,51056.94140625,144501500,0.0,0.0
192,2021-10-06,50994.421875,51020.01171875,50558.16015625,50974.48828125,152504600,0.0,0.0
193,2021-10-07,51085.859375,51453.5390625,50838.96875,50876.98046875,217620300,0.0,0.0
194,2021-10-08,50899.33984375,51398.44921875,50852.6484375,51136.62109375,124815100,0.0,0.0
195,2021-10-11,51134.6015625,51801.46875,51134.6015625,51646.75,98687800,0.0,0.0
196,2021-10-12,51755.23046875,52068.859375,51690.48046875,51835.87890625,124395700,0.0,0.0
197,2021-10-13,51917.7109375,51991.0703125,51518.2109375,51812.87109375,179795700,0.0,0.0
198,2021-10-14,51929.75,52302.078125,51929.75,52140.23828125,169512300,0.0,0.0
199,2021-10-15,52240.94140625,52849.87890625,52240.94140625,52798.37890625,172591700,0.0,0.0
200,2021-10-18,52834.7109375,52942.26171875,52538.12109375,52686.03125,127994100,0.0,0.0
201,2021-10-19,52672.4609375,52733.609375,52242.73046875,52402.73046875,127364900,0.0,0.0
202,2021-10-20,52336.62890625,52688.21875,52234.78125,52298.19921875,130915600,0.0,0.0
203,2021-10-21,52236.1015625,52252.390625,51521.94140625,52020.05078125,170061400,0.0,0.0
204,2021-10-22,51970.578125,52250.55078125,51737.390625,51889.66015625,142807500,0.0,0.0
205,2021-10-25,51892.3203125,52144.96875,51655.9609375,51833.80078125,123948700,0.0,0.0
206,2021-10-26,52051.62890625,52244.71875,51885.62890625,52206.58984375,138935500,0.0,0.0
207,2021-10-27,52189.609375,52194.23046875,51648.859375,51714.6015625,118290800,0.0,0.0
208,2021-10-28,51762.0,51767.421875,51200.3984375,51248.83984375,151378500,0.0,0.0
209,2021-10-29,51193.83984375,51503.578125,50997.109375,51309.83984375,145758900,0.0,0.0
210,2021-11-01,51353.609375,51880.01953125,51353.609375,51653.26171875,91186600,0.0,0.0
211,2021-11-03,51648.83984375,51965.51953125,51503.12890625,51876.80859375,203221300,0.0,0.0
212,2021-11-04,51838.62890625,51967.41015625,51338.69140625,51873.4609375,182211500,0.0,0.0
213,2021-11-05,51907.26953125,52220.3984375,51779.23828125,51977.9609375,197701000,0.0,0.0
214,2021-11-08,52000.2109375,52577.328125,51979.51171875,52251.48828125,201344200,0.0,0.0
215,2021-11-09,52250.48828125,52340.0,51778.03125,52114.12109375,183571400,0.0,0.0
216,2021-11-10,52153.94140625,52171.25,51590.51953125,51704.3984375,127670700,0.0,0.0
217,2021-11-11,51767.80078125,51815.51171875,51514.87890625,51707.01171875,134926600,0.0,0.0
218,2021-11-12,51739.87890625,51937.37109375,51350.359375,51432.5390625,184078600,0.0,0.0
219,2021-11-16,51422.12890625,51585.640625,51000.91015625,51161.5,211551200,0.0,0.0
220,2021-11-17,51197.98046875,51210.83984375,50678.33984375,51045.1015625,134527900,0.0,0.0
221,2021-11-18,51134.91015625,51243.96875,50552.44921875,50831.94921875,162724400,0.0,0.0
222,2021-11-19,50724.2890625,50891.390625,50535.109375,50811.30078125,143936400,0.0,0.0
223,2021-11-22,50864.01171875,50945.890625,50407.28125,50497.078125,136095800,0.0,0.0
224,2021-11-23,50447.828125,51182.78125,50437.76953125,51116.3203125,150734000,0.0,0.0
225,2021-11-24,51157.05859375,51236.578125,50639.4296875,50848.03125,181050100,0.0,0.0
226,2021-11-25,50838.2109375,50887.87890625,50580.48828125,50625.0,52596300,0.0,0.0
227,2021-11-26,50480.5,50480.5,49064.671875,49492.51953125,170088800,0.0,0.0
228,2021-11-29,49520.30078125,49875.69140625,49268.76953125,49796.30078125,242967200,0.0,0.0
229,2021-11-30,49623.3984375,49873.859375,49116.94140625,49698.71875,840279400,0.0,0.0
230,2021-12-01,49879.76171875,50752.12109375,49869.01171875,50007.16015625,223344700,0.0,0.0
231,2021-12-02,50032.21875,50956.1484375,49900.80078125,50927.37890625,159026600,0.0,0.0
232,2021-12-03,50870.66015625,51413.05859375,50528.8984375,50597.2890625,181641200,0.0,0.0
233,2021-12-06,50590.859375,50842.3515625,50445.25,50605.55859375,125368500,0.0,0.0
234,2021-12-07,50690.1484375,51009.75,50501.19140625,50918.28125,181685300,0.0,0.0
235,2021-12-08,50929.26171875,51121.0,50722.390625,51056.26953125,143869000,0.0,0.0
236,2021-12-09,51060.8203125,51305.44140625,50785.19921875,51238.01953125,147693500,0.0,0.0
237,2021-12-10,51194.23046875,51240.19140625,50935.6484375,51213.48046875,121603300,0.0,0.0
238,2021-12-13,51214.609375,51218.96875,50327.078125,50419.171875,246013200,0.0,0.0
239,2021-12-14,50401.21875,51481.69921875,50291.01953125,51241.46875,238023800,0.0,0.0
240,2021-12-15,51141.390625,51291.03125,50728.98828125,51163.66015625,182077000,0.0,0.0
241,2021-12-16,51264.55859375,51899.87109375,51147.28125,51384.05859375,142780800,0.0,0.0
242,2021-12-17,51296.05859375,52477.828125,51227.19921875,52379.37109375,510546300,0.0,0.0
243,2021-12-20,52333.26171875,52333.26171875,51319.55078125,51623.859375,121895900,0.0,0.0
244,2021-12-21,51916.01953125,52188.41015625,51593.921875,52085.28125,144351900,0.0,0.0
245,2021-12-22,52146.01171875,52450.8515625,51956.98828125,52403.05078125,113832100,0.0,0.0
246,2021-12-23,52413.55859375,52872.73828125,52355.3515625,52650.91015625,96501500,0.0,0.0
247,2021-12-24,52615.28125,52901.71875,52548.58984375,52853.37890625,5240400,0.0,0.0
248,2021-12-27,52853.66015625,53309.51171875,52558.8515625,53259.55859375,60916800,0.0,0.0
249,2021-12-28,53201.69140625,53630.53125,53106.3984375,53238.48046875,84095500,0.0,0.0
250,2021-12-29,53223.76171875,53500.3203125,52668.33984375,52748.9296875,57322300,0.0,0.0
251,2021-12-30,52809.78125,53253.62109375,52752.73046875,53175.25,83757300,0.0,0.0
252,2021-12-31,53099.76953125,53387.21875,53011.0703125,53272.44140625,48616100,0.0,0.0
253,2022-01-03,53278.109375,53603.828125,52901.7109375,52941.01171875,56603700,0.0,0.0
254,2022-01-04,53073.078125,53334.0,52888.73046875,53016.78125,105053500,0.0,0.0
